source_key_ids,charge_mean,sigma_mean,epsilon_mean,mass_mean,env_key,z,formal_charge,aromatic,hybridization,degree,total_hs,in_ring,ring_count,neighbor_sig,bond_kinds,hop1_shell,hop2_shell
1,0.11260000,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}],""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}]"
2,0.09790000,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}],""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}]"
3,0.12720000,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":7}],""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":7}]"
4,0.14515000,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":3,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":3,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
5,0.13805000,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":3,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":3,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
6,0.11030000,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}],""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]"
7,0.11155000,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}],""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]"
8,0.09110000,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
13,0.09955000,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}],""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}]"
9,0.09210000,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14}],""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14}]"
