source_key_ids,charge_mean,sigma_mean,epsilon_mean,mass_mean,env_key,z,formal_charge,aromatic,hybridization,degree,total_hs,in_ring,ring_count,neighbor_sig,bond_kinds,hop1_shell,hop2_shell
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,0.10431053,2.50000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",,
20;21;22,0.17709233,2.42000000,0.03000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""6:S:1""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""6:S:1""]","[""S""]",,
23;24,0.44955000,0.00000000,0.00000000,1.00800000,"{""aromatic"":0,""bond_kinds"":[""S""],""degree"":1,""formal_charge"":0,""hybridization"":""S"",""in_ring"":0,""neighbor_sig"":[""8:S:0""],""ring_count"":0,""total_hs"":0,""z"":1}",1,0,0,S,1,0,0,0,"[""8:S:0""]","[""S""]",,
25;26,1.65057500,4.00000000,0.10000000,28.08500000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""6:S:0"",""6:S:0"",""8:S:0""],""ring_count"":0,""total_hs"":0,""z"":14}",14,0,0,SP3,4,0,0,0,"[""6:S:0"",""6:S:0"",""6:S:0"",""8:S:0""]","[""S"",""S"",""S"",""S""]",,
27;28,1.91526000,4.00000000,0.10000000,28.08500000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""6:S:0"",""8:S:0"",""8:S:0""],""ring_count"":0,""total_hs"":0,""z"":14}",14,0,0,SP3,4,0,0,0,"[""6:S:0"",""6:S:0"",""8:S:0"",""8:S:0""]","[""S"",""S"",""S"",""S""]",,
29;30,2.11387500,4.00000000,0.10000000,28.08500000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hybridization"":""SP3"",""in_ring"":1,""neighbor_sig"":[""6:S:0"",""8:S:0"",""8:S:0"",""8:S:0""],""ring_count"":3,""total_hs"":0,""z"":14}",14,0,0,SP3,4,0,1,3,"[""6:S:0"",""8:S:0"",""8:S:0"",""8:S:0""]","[""S"",""S"",""S"",""S""]",,
31;32,0.45800000,3.55000000,0.07000000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""D"",""S"",""S""],""degree"":3,""formal_charge"":0,""hybridization"":""SP2"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""8:D:0"",""8:S:0""],""ring_count"":0,""total_hs"":0,""z"":6}",6,0,0,SP2,3,0,0,0,"[""6:S:0"",""8:D:0"",""8:S:0""]","[""D"",""S"",""S""]",,
33;34,0.48550000,3.55000000,0.07000000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S""],""degree"":3,""formal_charge"":0,""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""8:S:0"",""8:S:0""],""ring_count"":0,""total_hs"":1,""z"":6}",6,0,0,SP3,3,1,0,0,"[""6:S:0"",""8:S:0"",""8:S:0""]","[""S"",""S"",""S""]",,
35,-0.12900000,3.50000000,0.06600000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""6:S:0"",""6:S:0"",""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":6}",6,0,0,SP3,4,0,0,0,"[""6:S:0"",""6:S:0"",""6:S:0"",""6:S:0""]","[""S"",""S"",""S"",""S""]",,
36;37;38,-0.03826667,3.50000000,0.06600000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""1:S:0"",""6:S:0"",""6:S:0"",""6:S:1""],""ring_count"":0,""total_hs"":1,""z"":6}",6,0,0,SP3,4,1,0,0,"[""1:S:0"",""6:S:0"",""6:S:0"",""6:S:1""]","[""S"",""S"",""S"",""S""]",,
