interaction_kind,n_atoms,lmp_type_tuple,term_count,source_term_types,coeff_param_sets
bond,2,"[25,21]",1,[24],"[[""340.0000"",""1.0900""]]"
bond,2,"[9,5]",1,[8],"[[""340.0000"",""1.0900""]]"
bond,2,"[22,20]",1,[21],"[[""340.0000"",""1.0900""]]"
bond,2,"[23,20]",1,[22],"[[""340.0000"",""1.0900""]]"
bond,2,"[6,4]",1,[5],"[[""340.0000"",""1.0900""]]"
bond,2,"[7,4]",1,[6],"[[""340.0000"",""1.0900""]]"
bond,2,"[42,40]",1,[41],"[[""340.0000"",""1.0900""]]"
bond,2,"[43,40]",1,[42],"[[""340.0000"",""1.0900""]]"
bond,2,"[49,47]",1,[48],"[[""340.0000"",""1.0900""]]"
bond,2,"[50,47]",1,[49],"[[""340.0000"",""1.0900""]]"
bond,2,"[51,47]",1,[50],"[[""340.0000"",""1.0900""]]"
bond,2,"[52,48]",1,[51],"[[""340.0000"",""1.0900""]]"
bond,2,"[53,48]",1,[52],"[[""340.0000"",""1.0900""]]"
bond,2,"[54,48]",1,[53],"[[""340.0000"",""1.0900""]]"
bond,2,"[2,1]",1,[1],"[[""340.0000"",""1.0900""]]"
bond,2,"[3,1]",1,[2],"[[""340.0000"",""1.0900""]]"
bond,2,"[55,1]",1,[54],"[[""340.0000"",""1.0900""]]"
bond,2,"[44,41]",1,[43],"[[""340.0000"",""1.0900""]]"
bond,2,"[45,41]",1,[44],"[[""340.0000"",""1.0900""]]"
bond,2,"[46,41]",1,[45],"[[""340.0000"",""1.0900""]]"
bond,2,"[13,10]",1,[12],"[[""367.0000"",""1.0800""]]"
bond,2,"[15,11]",1,[14],"[[""367.0000"",""1.0800""]]"
bond,2,"[29,26]",1,[28],"[[""367.0000"",""1.0800""]]"
bond,2,"[31,27]",1,[30],"[[""367.0000"",""1.0800""]]"
bond,2,"[17,12]",1,[16],"[[""367.0000"",""1.0800""]]"
bond,2,"[18,14]",1,[17],"[[""367.0000"",""1.0800""]]"
bond,2,"[33,28]",1,[32],"[[""367.0000"",""1.0800""]]"
bond,2,"[34,30]",1,[33],"[[""367.0000"",""1.0800""]]"
bond,2,"[19,16]",1,[18],"[[""367.0000"",""1.0800""]]"
bond,2,"[35,32]",1,[34],"[[""367.0000"",""1.0800""]]"
bond,2,"[37,36]",1,[36],"[[""317.0000"",""1.5220""]]"
bond,2,"[37,38]",1,[37],"[[""570.0000"",""1.2290""]]"
bond,2,"[37,39]",1,[38],"[[""214.0000"",""1.3270""]]"
bond,2,"[36,20]",1,[35],"[[""268.0000"",""1.5290""]]"
bond,2,"[36,47]",1,[46],"[[""268.0000"",""1.5290""]]"
bond,2,"[36,48]",1,[47],"[[""268.0000"",""1.5290""]]"
bond,2,"[21,20]",1,[19],"[[""268.0000"",""1.5290""]]"
bond,2,"[21,4]",1,[20],"[[""268.0000"",""1.5290""]]"
bond,2,"[21,24]",1,[23],"[[""317.0000"",""1.5100""]]"
bond,2,"[5,4]",1,[3],"[[""268.0000"",""1.5290""]]"
bond,2,"[5,1]",1,[4],"[[""268.0000"",""1.5290""]]"
bond,2,"[5,8]",1,[7],"[[""317.0000"",""1.5100""]]"
bond,2,"[40,41]",1,[40],"[[""268.0000"",""1.5290""]]"
bond,2,"[40,39]",1,[39],"[[""320.0000"",""1.4100""]]"
bond,2,"[24,26]",1,[25],"[[""469.0000"",""1.4000""]]"
bond,2,"[24,27]",1,[26],"[[""469.0000"",""1.4000""]]"
bond,2,"[8,10]",1,[9],"[[""469.0000"",""1.4000""]]"
bond,2,"[8,11]",1,[10],"[[""469.0000"",""1.4000""]]"
bond,2,"[10,12]",1,[11],"[[""469.0000"",""1.4000""]]"
bond,2,"[11,14]",1,[13],"[[""469.0000"",""1.4000""]]"
bond,2,"[26,28]",1,[27],"[[""469.0000"",""1.4000""]]"
bond,2,"[27,30]",1,[29],"[[""469.0000"",""1.4000""]]"
bond,2,"[12,16]",1,[15],"[[""469.0000"",""1.4000""]]"
bond,2,"[14,16]",1,[55],"[[""469.0000"",""1.4000""]]"
bond,2,"[28,32]",1,[31],"[[""469.0000"",""1.4000""]]"
bond,2,"[30,32]",1,[56],"[[""469.0000"",""1.4000""]]"
angle,3,"[25,21,20]",1,[85],"[[""37.500"",""110.700""]]"
angle,3,"[25,21,4]",1,[23],"[[""37.500"",""110.700""]]"
angle,3,"[25,21,24]",1,[86],"[[""35.000"",""109.500""]]"
angle,3,"[9,5,4]",1,[87],"[[""37.500"",""110.700""]]"
angle,3,"[9,5,1]",1,[7],"[[""37.500"",""110.700""]]"
angle,3,"[9,5,8]",1,[89],"[[""35.000"",""109.500""]]"
angle,3,"[22,20,23]",1,[99],"[[""33.000"",""107.800""]]"
angle,3,"[22,20,36]",1,[88],"[[""37.500"",""110.700""]]"
angle,3,"[23,20,36]",1,[72],"[[""37.500"",""110.700""]]"
angle,3,"[22,20,21]",1,[20],"[[""37.500"",""110.700""]]"
angle,3,"[23,20,21]",1,[21],"[[""37.500"",""110.700""]]"
angle,3,"[6,4,7]",1,[92],"[[""33.000"",""107.800""]]"
angle,3,"[6,4,21]",1,[95],"[[""37.500"",""110.700""]]"
angle,3,"[7,4,21]",1,[79],"[[""37.500"",""110.700""]]"
angle,3,"[6,4,5]",1,[4],"[[""37.500"",""110.700""]]"
angle,3,"[7,4,5]",1,[5],"[[""37.500"",""110.700""]]"
angle,3,"[42,40,43]",1,[77],"[[""33.000"",""107.800""]]"
angle,3,"[42,40,41]",1,[97],"[[""37.500"",""110.700""]]"
angle,3,"[43,40,41]",1,[80],"[[""37.500"",""110.700""]]"
angle,3,"[42,40,39]",1,[40],"[[""35.000"",""109.500""]]"
angle,3,"[43,40,39]",1,[41],"[[""35.000"",""109.500""]]"
angle,3,"[49,47,50]",1,[84],"[[""33.000"",""107.800""]]"
angle,3,"[49,47,51]",1,[64],"[[""33.000"",""107.800""]]"
angle,3,"[50,47,51]",1,[82],"[[""33.000"",""107.800""]]"
angle,3,"[52,48,53]",1,[78],"[[""33.000"",""107.800""]]"
angle,3,"[52,48,54]",1,[74],"[[""33.000"",""107.800""]]"
angle,3,"[53,48,54]",1,[56],"[[""33.000"",""107.800""]]"
angle,3,"[49,47,36]",1,[47],"[[""37.500"",""110.700""]]"
angle,3,"[50,47,36]",1,[48],"[[""37.500"",""110.700""]]"
angle,3,"[51,47,36]",1,[49],"[[""37.500"",""110.700""]]"
angle,3,"[52,48,36]",1,[50],"[[""37.500"",""110.700""]]"
angle,3,"[53,48,36]",1,[51],"[[""37.500"",""110.700""]]"
angle,3,"[54,48,36]",1,[52],"[[""37.500"",""110.700""]]"
angle,3,"[2,1,3]",1,[1],"[[""33.000"",""107.800""]]"
angle,3,"[2,1,55]",1,[53],"[[""33.000"",""107.800""]]"
angle,3,"[3,1,55]",1,[96],"[[""33.000"",""107.800""]]"
angle,3,"[2,1,5]",1,[3],"[[""37.500"",""110.700""]]"
angle,3,"[3,1,5]",1,[83],"[[""37.500"",""110.700""]]"
angle,3,"[55,1,5]",1,[67],"[[""37.500"",""110.700""]]"
angle,3,"[44,41,45]",1,[94],"[[""33.000"",""107.800""]]"
angle,3,"[44,41,46]",1,[100],"[[""33.000"",""107.800""]]"
angle,3,"[45,41,46]",1,[76],"[[""33.000"",""107.800""]]"
angle,3,"[44,41,40]",1,[42],"[[""37.500"",""110.700""]]"
angle,3,"[45,41,40]",1,[43],"[[""37.500"",""110.700""]]"
angle,3,"[46,41,40]",1,[44],"[[""37.500"",""110.700""]]"
angle,3,"[29,26,24]",1,[27],"[[""35.000"",""120.000""]]"
