module,atom_index,atom_name,opls_type_id,opls_type_name,charge,sigma,epsilon,mass,env_key
segment2,1,C,1,LMP_1,-0.1325,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":3,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""1:S:0"",""1:S:0"",""6:S:0""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1}]}"
segment2,2,H,2,LMP_2,0.0384,2.5,0.03,1.008,"{""z"":1,""formal_charge"":0,""aromatic"":0,""hybridization"":""S"",""degree"":1,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:0""],""bond_kinds"":[""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":3,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0}]}"
segment2,3,H,3,LMP_3,0.2992,2.5,0.03,1.008,"{""z"":1,""formal_charge"":0,""aromatic"":0,""hybridization"":""S"",""degree"":1,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:0""],""bond_kinds"":[""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":3,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0}]}"
segment2,4,C,4,LMP_4,-0.1931,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":2,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""1:S:0"",""6:S:0"",""6:S:0""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":3,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1}]}"
segment2,5,C,5,LMP_5,0.0102,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":1,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""6:S:0"",""6:S:0"",""6:S:1""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":3,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,6,H,6,LMP_6,0.1043,2.5,0.03,1.008,"{""z"":1,""formal_charge"":0,""aromatic"":0,""hybridization"":""S"",""degree"":1,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:0""],""bond_kinds"":[""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0}]}"
segment2,7,H,7,LMP_7,0.1043,2.5,0.03,1.008,"{""z"":1,""formal_charge"":0,""aromatic"":0,""hybridization"":""S"",""degree"":1,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:0""],""bond_kinds"":[""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0}]}"
segment2,8,C,8,LMP_8,-0.073,3.55,0.07,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":1,""hybridization"":""SP2"",""degree"":3,""total_hs"":0,""in_ring"":1,""ring_count"":1,""neighbor_sig"":[""6:A:1"",""6:A:1"",""6:S:0""],""bond_kinds"":[""A"",""A"",""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":3,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,9,H,9,LMP_9,0.0979,2.5,0.03,1.008,"{""z"":1,""formal_charge"":0,""aromatic"":0,""hybridization"":""S"",""degree"":1,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:0""],""bond_kinds"":[""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0}],""hop2_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":3,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1}]}"
segment2,10,C,10,LMP_10,-0.1422,3.55,0.07,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":1,""hybridization"":""SP2"",""degree"":3,""total_hs"":1,""in_ring"":1,""ring_count"":1,""neighbor_sig"":[""1:S:0"",""6:A:1"",""6:A:1""],""bond_kinds"":[""A"",""A"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,11,C,11,LMP_11,-0.1422,3.55,0.07,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":1,""hybridization"":""SP2"",""degree"":3,""total_hs"":1,""in_ring"":1,""ring_count"":1,""neighbor_sig"":[""1:S:0"",""6:A:1"",""6:A:1""],""bond_kinds"":[""A"",""A"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,12,C,12,LMP_12,-0.152,3.55,0.07,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":1,""hybridization"":""SP2"",""degree"":3,""total_hs"":1,""in_ring"":1,""ring_count"":1,""neighbor_sig"":[""1:S:0"",""6:A:1"",""6:A:1""],""bond_kinds"":[""A"",""A"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,13,H,13,LMP_13,0.1509,2.42,0.03,1.008,"{""z"":1,""formal_charge"":0,""aromatic"":0,""hybridization"":""S"",""degree"":1,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:1""],""bond_kinds"":[""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,14,C,14,LMP_14,-0.152,3.55,0.07,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":1,""hybridization"":""SP2"",""degree"":3,""total_hs"":1,""in_ring"":1,""ring_count"":1,""neighbor_sig"":[""1:S:0"",""6:A:1"",""6:A:1""],""bond_kinds"":[""A"",""A"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,15,H,15,LMP_15,0.1509,2.42,0.03,1.008,"{""z"":1,""formal_charge"":0,""aromatic"":0,""hybridization"":""S"",""degree"":1,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:1""],""bond_kinds"":[""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,16,C,16,LMP_16,-0.1502,3.55,0.07,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":1,""hybridization"":""SP2"",""degree"":3,""total_hs"":1,""in_ring"":1,""ring_count"":1,""neighbor_sig"":[""1:S:0"",""6:A:1"",""6:A:1""],""bond_kinds"":[""A"",""A"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,17,H,17,LMP_17,0.1533,2.42,0.03,1.008,"{""z"":1,""formal_charge"":0,""aromatic"":0,""hybridization"":""S"",""degree"":1,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:1""],""bond_kinds"":[""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,18,H,18,LMP_18,0.1533,2.42,0.03,1.008,"{""z"":1,""formal_charge"":0,""aromatic"":0,""hybridization"":""S"",""degree"":1,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:1""],""bond_kinds"":[""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,19,H,19,LMP_19,0.1524,2.42,0.03,1.008,"{""z"":1,""formal_charge"":0,""aromatic"":0,""hybridization"":""S"",""degree"":1,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:1""],""bond_kinds"":[""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}],""hop2_shell"":[{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
segment2,20,C,20,LMP_20,-0.1497,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":2,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""1:S:0"",""6:S:0"",""6:S:0""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":3,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":3,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":3,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1}]}"
segment2,21,C,21,LMP_21,-0.0635,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":1,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""6:S:0"",""6:S:0"",""6:S:1""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":1,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1}]}"
