interaction_kind,n_atoms,lmp_type_tuple,term_count,source_term_types,coeff_param_sets
bond,2,"[52,45]",1,[51],"[[""340.0000"",""1.0900""]]"
bond,2,"[37,17]",1,[36],"[[""340.0000"",""1.0900""]]"
bond,2,"[26,4]",1,[25],"[[""340.0000"",""1.0900""]]"
bond,2,"[27,4]",1,[26],"[[""340.0000"",""1.0900""]]"
bond,2,"[28,5]",1,[27],"[[""340.0000"",""1.0900""]]"
bond,2,"[29,5]",1,[28],"[[""340.0000"",""1.0900""]]"
bond,2,"[38,18]",1,[37],"[[""340.0000"",""1.0900""]]"
bond,2,"[71,18]",1,[70],"[[""340.0000"",""1.0900""]]"
bond,2,"[61,59]",1,[60],"[[""340.0000"",""1.0900""]]"
bond,2,"[62,59]",1,[61],"[[""340.0000"",""1.0900""]]"
bond,2,"[32,9]",1,[31],"[[""340.0000"",""1.0900""]]"
bond,2,"[33,9]",1,[32],"[[""340.0000"",""1.0900""]]"
bond,2,"[63,60]",1,[62],"[[""340.0000"",""1.0900""]]"
bond,2,"[64,60]",1,[63],"[[""340.0000"",""1.0900""]]"
bond,2,"[34,10]",1,[33],"[[""340.0000"",""1.0900""]]"
bond,2,"[35,10]",1,[34],"[[""340.0000"",""1.0900""]]"
bond,2,"[30,8]",1,[29],"[[""340.0000"",""1.0900""]]"
bond,2,"[31,8]",1,[30],"[[""340.0000"",""1.0900""]]"
bond,2,"[25,1]",1,[24],"[[""340.0000"",""1.0900""]]"
bond,2,"[58,1]",1,[57],"[[""340.0000"",""1.0900""]]"
bond,2,"[78,77]",1,[77],"[[""340.0000"",""1.0900""]]"
bond,2,"[79,77]",1,[78],"[[""340.0000"",""1.0900""]]"
bond,2,"[80,77]",1,[79],"[[""340.0000"",""1.0900""]]"
bond,2,"[39,20]",1,[38],"[[""367.0000"",""1.0800""]]"
bond,2,"[43,24]",1,[42],"[[""367.0000"",""1.0800""]]"
bond,2,"[53,47]",1,[52],"[[""367.0000"",""1.0800""]]"
bond,2,"[57,51]",1,[56],"[[""367.0000"",""1.0800""]]"
bond,2,"[72,66]",1,[71],"[[""367.0000"",""1.0800""]]"
bond,2,"[76,70]",1,[75],"[[""367.0000"",""1.0800""]]"
bond,2,"[36,12]",1,[35],"[[""367.0000"",""1.0800""]]"
bond,2,"[40,21]",1,[39],"[[""367.0000"",""1.0800""]]"
bond,2,"[42,23]",1,[41],"[[""367.0000"",""1.0800""]]"
bond,2,"[54,48]",1,[53],"[[""367.0000"",""1.0800""]]"
bond,2,"[56,50]",1,[55],"[[""367.0000"",""1.0800""]]"
bond,2,"[73,67]",1,[72],"[[""367.0000"",""1.0800""]]"
bond,2,"[75,69]",1,[74],"[[""367.0000"",""1.0800""]]"
bond,2,"[41,22]",1,[40],"[[""367.0000"",""1.0800""]]"
bond,2,"[55,49]",1,[54],"[[""367.0000"",""1.0800""]]"
bond,2,"[74,68]",1,[73],"[[""367.0000"",""1.0800""]]"
bond,2,"[3,4]",1,[3],"[[""317.0000"",""1.5220""]]"
bond,2,"[6,5]",1,[5],"[[""317.0000"",""1.5220""]]"
bond,2,"[3,16]",1,[15],"[[""570.0000"",""1.2290""]]"
bond,2,"[6,44]",1,[43],"[[""570.0000"",""1.2290""]]"
bond,2,"[6,7]",1,[6],"[[""214.0000"",""1.3270""]]"
bond,2,"[3,2]",1,[2],"[[""214.0000"",""1.3270""]]"
bond,2,"[45,18]",1,[44],"[[""268.0000"",""1.5290""]]"
bond,2,"[45,59]",1,[58],"[[""268.0000"",""1.5290""]]"
bond,2,"[45,46]",1,[45],"[[""317.0000"",""1.5100""]]"
bond,2,"[17,18]",1,[17],"[[""268.0000"",""1.5290""]]"
bond,2,"[17,19]",1,[18],"[[""317.0000"",""1.5100""]]"
bond,2,"[17,13]",1,[16],"[[""337.0000"",""1.4750""]]"
bond,2,"[4,5]",1,[4],"[[""268.0000"",""1.5290""]]"
bond,2,"[59,60]",1,[59],"[[""268.0000"",""1.5290""]]"
bond,2,"[9,10]",1,[9],"[[""268.0000"",""1.5290""]]"
bond,2,"[9,8]",1,[8],"[[""268.0000"",""1.5290""]]"
bond,2,"[60,65]",1,[64],"[[""317.0000"",""1.5100""]]"
bond,2,"[10,11]",1,[10],"[[""317.0000"",""1.5040""]]"
bond,2,"[8,7]",1,[7],"[[""320.0000"",""1.4100""]]"
bond,2,"[1,77]",1,[76],"[[""268.0000"",""1.5290""]]"
bond,2,"[1,2]",1,[1],"[[""320.0000"",""1.4100""]]"
bond,2,"[46,47]",1,[46],"[[""469.0000"",""1.4000""]]"
bond,2,"[46,51]",1,[50],"[[""469.0000"",""1.4000""]]"
bond,2,"[19,20]",1,[19],"[[""469.0000"",""1.4000""]]"
bond,2,"[19,24]",1,[23],"[[""469.0000"",""1.4000""]]"
