interaction_kind,n_atoms,lmp_type_tuple,term_count,source_term_types,coeff_param_sets
bond,2,"[10,6]",1,[9],"[[""340.0000"",""1.0900""]]"
bond,2,"[11,6]",1,[10],"[[""340.0000"",""1.0900""]]"
bond,2,"[7,4]",1,[6],"[[""340.0000"",""1.0900""]]"
bond,2,"[8,4]",1,[7],"[[""340.0000"",""1.0900""]]"
bond,2,"[69,65]",1,[68],"[[""340.0000"",""1.0900""]]"
bond,2,"[70,65]",1,[69],"[[""340.0000"",""1.0900""]]"
bond,2,"[19,15]",1,[18],"[[""340.0000"",""1.0900""]]"
bond,2,"[20,15]",1,[19],"[[""340.0000"",""1.0900""]]"
bond,2,"[66,64]",1,[65],"[[""340.0000"",""1.0900""]]"
bond,2,"[67,64]",1,[66],"[[""340.0000"",""1.0900""]]"
bond,2,"[16,14]",1,[15],"[[""340.0000"",""1.0900""]]"
bond,2,"[17,14]",1,[16],"[[""340.0000"",""1.0900""]]"
bond,2,"[74,71]",1,[73],"[[""340.0000"",""1.0900""]]"
bond,2,"[75,71]",1,[74],"[[""340.0000"",""1.0900""]]"
bond,2,"[76,71]",1,[75],"[[""340.0000"",""1.0900""]]"
bond,2,"[77,72]",1,[76],"[[""340.0000"",""1.0900""]]"
bond,2,"[78,72]",1,[77],"[[""340.0000"",""1.0900""]]"
bond,2,"[79,72]",1,[78],"[[""340.0000"",""1.0900""]]"
bond,2,"[94,91]",1,[93],"[[""340.0000"",""1.0900""]]"
bond,2,"[95,91]",1,[94],"[[""340.0000"",""1.0900""]]"
bond,2,"[96,91]",1,[95],"[[""340.0000"",""1.0900""]]"
bond,2,"[97,92]",1,[96],"[[""340.0000"",""1.0900""]]"
bond,2,"[98,92]",1,[97],"[[""340.0000"",""1.0900""]]"
bond,2,"[99,92]",1,[98],"[[""340.0000"",""1.0900""]]"
bond,2,"[100,93]",1,[99],"[[""340.0000"",""1.0900""]]"
bond,2,"[101,93]",1,[100],"[[""340.0000"",""1.0900""]]"
bond,2,"[102,93]",1,[101],"[[""340.0000"",""1.0900""]]"
bond,2,"[84,81]",1,[83],"[[""340.0000"",""1.0900""]]"
bond,2,"[85,81]",1,[84],"[[""340.0000"",""1.0900""]]"
bond,2,"[86,81]",1,[85],"[[""340.0000"",""1.0900""]]"
bond,2,"[87,82]",1,[86],"[[""340.0000"",""1.0900""]]"
bond,2,"[88,82]",1,[87],"[[""340.0000"",""1.0900""]]"
bond,2,"[89,82]",1,[88],"[[""340.0000"",""1.0900""]]"
bond,2,"[38,29]",1,[37],"[[""340.0000"",""1.0900""]]"
bond,2,"[39,29]",1,[38],"[[""340.0000"",""1.0900""]]"
bond,2,"[40,29]",1,[39],"[[""340.0000"",""1.0900""]]"
bond,2,"[42,32]",1,[41],"[[""340.0000"",""1.0900""]]"
